FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
64,2018-12-05,Falcon 9,6123.5,LEO,CCAFS SLC 40,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
65,2018-12-23,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,1,False,False,False,,5.0,0,B1049,-80.577366,28.561857
66,2019-01-11,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
67,2019-03-02,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
68,2019-05-04,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
69,2019-05-24,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
70,2019-06-12,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,0,B1049,-80.577366,28.561857
71,2019-07-25,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
72,2019-08-06,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,3,False,True,False,,5.0,0,B1049,-80.577366,28.561857
73,2019-11-11,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
74,2019-12-05,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
75,2019-12-17,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
76,2020-01-07,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
77,2020-01-19,Falcon 9,6123.5,LEO,CCAFS SLC 40,None None,4,False,True,False,,5.0,0,B1049,-80.577366,28.561857
78,2020-01-29,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
79,2020-02-17,Falcon 9,6123.5,LEO,CCAFS SLC 40,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
80,2020-03-07,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
81,2020-03-18,Falcon 9,6123.5,LEO,CCAFS SLC 40,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
82,2020-04-22,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
83,2020-05-30,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
84,2020-06-04,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
85,2020-06-13,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
86,2020-06-30,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
87,2020-07-20,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
88,2020-08-18,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
89,2020-08-30,Falcon 9,6123.5,LEO,CCAFS SLC 40,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,0,B1049,-80.577366,28.561857
90,2020-09-03,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
91,2020-10-06,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
92,2020-10-18,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
93,2020-10-24,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1049,-80.577366,28.561857
94,2020-11-05,Falcon 9,6123.5,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0,B1049,-80.577366,28.561857
